Indicador,Mes,Valor
Generadas,"Enero, 24",5
Aprobadas,"Enero, 24",1
Condicionadas,"Enero, 24",0
Rechazadas,"Enero, 24",4
Formalizadas,"Enero, 24",1
Generadas,"Febrero, 24",6
Aprobadas,"Febrero, 24",2
Condicionadas,"Febrero, 24",0
Rechazadas,"Febrero, 24",4
Formalizadas,"Febrero, 24",1
Generadas,"Marzo, 24",11
Aprobadas,"Marzo, 24",7
Condicionadas,"Marzo, 24",1
Rechazadas,"Marzo, 24",4
Formalizadas,"Marzo, 24",5
Generadas,"Abril, 24",23
Aprobadas,"Abril, 24",14
Condicionadas,"Abril, 24",0
Rechazadas,"Abril, 24",9
Formalizadas,"Abril, 24",11
Generadas,"Mayo, 24",26
Aprobadas,"Mayo, 24",8
Condicionadas,"Mayo, 24",4
Rechazadas,"Mayo, 24",14
Formalizadas,"Mayo, 24",3
Generadas,"Junio, 24",43
Aprobadas,"Junio, 24",13
Condicionadas,"Junio, 24",0
Rechazadas,"Junio, 24",22
Formalizadas,"Junio, 24",6
Generadas,"Julio, 24",55
Aprobadas,"Julio, 24",30
Condicionadas,"Julio, 24",3
Rechazadas,"Julio, 24",17
Formalizadas,"Julio, 24",17
Generadas,"Agosto, 24",36
Aprobadas,"Agosto, 24",19
Condicionadas,"Agosto, 24",0
Rechazadas,"Agosto, 24",13
Formalizadas,"Agosto, 24",9
Generadas,"Septiembre, 24",56
Aprobadas,"Septiembre, 24",26
Condicionadas,"Septiembre, 24",1
Rechazadas,"Septiembre, 24",13
Formalizadas,"Septiembre, 24",7
Generadas,"Octubre, 24",79
Aprobadas,"Octubre, 24",31
Condicionadas,"Octubre, 24",32
Rechazadas,"Octubre, 24",12
Formalizadas,"Octubre, 24",14
Generadas,"Noviembre, 24",76
Aprobadas,"Noviembre, 24",25
Condicionadas,"Noviembre, 24",26
Rechazadas,"Noviembre, 24",25
Formalizadas,"Noviembre, 24",14
Generadas,"Diciembre, 24",103
Aprobadas,"Diciembre, 24",39
Condicionadas,"Diciembre, 24",33
Rechazadas,"Diciembre, 24",26
Formalizadas,"Diciembre, 24",17
Generadas,"Enero, 25",83
Aprobadas,"Enero, 25",30
Condicionadas,"Enero, 25",25
Rechazadas,"Enero, 25",26
Formalizadas,"Enero, 25",19
Generadas,"Febrero, 25",76
Aprobadas,"Febrero, 25",27
Condicionadas,"Febrero, 25",18
Rechazadas,"Febrero, 25",21
Formalizadas,"Febrero, 25",12
Generadas,"Marzo, 25",92
Aprobadas,"Marzo, 25",31
Condicionadas,"Marzo, 25",27
Rechazadas,"Marzo, 25",30
Formalizadas,"Marzo, 25",20
Generadas,"Abril, 25",59
Aprobadas,"Abril, 25",35
Condicionadas,"Abril, 25",6
Rechazadas,"Abril, 25",16
Formalizadas,"Abril, 25",17
Generadas,"Mayo, 25",76
Aprobadas,"Mayo, 25",40
Condicionadas,"Mayo, 25",7
Rechazadas,"Mayo, 25",25
Formalizadas,"Mayo, 25",19
Generadas,"Junio, 25",97
Aprobadas,"Junio, 25",46
Condicionadas,"Junio, 25",25
Rechazadas,"Junio, 25",22
Formalizadas,"Junio, 25",25
Generadas,"Julio, 25",104
Aprobadas,"Julio, 25",41
Condicionadas,"Julio, 25",22
Rechazadas,"Julio, 25",33
Formalizadas,"Julio, 25",21
Generadas,"Agosto, 25",99
Aprobadas,"Agosto, 25",27
Condicionadas,"Agosto, 25",22
Rechazadas,"Agosto, 25",44
Formalizadas,"Agosto, 25",13
Generadas,"Septiembre, 25",127
Aprobadas,"Septiembre, 25",43
Condicionadas,"Septiembre, 25",32
Rechazadas,"Septiembre, 25",49
Formalizadas,"Septiembre, 25",25
Generadas,"Octubre, 25",136
Aprobadas,"Octubre, 25",51
Condicionadas,"Octubre, 25",22
Rechazadas,"Octubre, 25",62
Formalizadas,"Octubre, 25",25
Generadas,"Noviembre, 25",118
Aprobadas,"Noviembre, 25",49
Condicionadas,"Noviembre, 25",32
Rechazadas,"Noviembre, 25",36
Formalizadas,"Noviembre, 25",24
Generadas,"Diciembre, 25",111
Aprobadas,"Diciembre, 25",31
Condicionadas,"Diciembre, 25",49
Rechazadas,"Diciembre, 25",28
Formalizadas,"Diciembre, 25",14
Generadas,"Enero, 26",113
Aprobadas,"Enero, 26",37
Condicionadas,"Enero, 26",34
Rechazadas,"Enero, 26",36
Formalizadas,"Enero, 26",21
Generadas,"Febrero, 26",83
Aprobadas,"Febrero, 26",37
Condicionadas,"Febrero, 26",21
Rechazadas,"Febrero, 26",25
Formalizadas,"Febrero, 26",17
Generadas,"Marzo, 26",85
Aprobadas,"Marzo, 26",41
Condicionadas,"Marzo, 26",14
Rechazadas,"Marzo, 26",30
Formalizadas,"Marzo, 26",18
Generadas,"Abril, 26",74
Aprobadas,"Abril, 26",42
Condicionadas,"Abril, 26",16
Rechazadas,"Abril, 26",16
Formalizadas,"Abril, 26",16
Generadas,"Mayo, 26",95
Aprobadas,"Mayo, 26",44
Condicionadas,"Mayo, 26",17
Rechazadas,"Mayo, 26",30
Formalizadas,"Mayo, 26",19
Generadas,"Junio, 26",82
Aprobadas,"Junio, 26",35
Condicionadas,"Junio, 26",10
Rechazadas,"Junio, 26",33
Formalizadas,"Junio, 26",13
Generadas,"Julio, 26",32
Aprobadas,"Julio, 26",12
Condicionadas,"Julio, 26",9
Rechazadas,"Julio, 26",9
Formalizadas,"Julio, 26",4
