Motivo,Mes,Valor
Compra en otro lado,"Enero, 24",
Falta importe para enganche,"Enero, 24",
Espera comprar en futuro,"Enero, 24",
Otros,"Enero, 24",
Compra en otro lado,"Febrero, 24",
Falta importe para enganche,"Febrero, 24",
Espera comprar en futuro,"Febrero, 24",
Otros,"Febrero, 24",
Compra en otro lado,"Marzo, 24",
Falta importe para enganche,"Marzo, 24",
Espera comprar en futuro,"Marzo, 24",
Otros,"Marzo, 24",
Compra en otro lado,"Abril, 24",
Falta importe para enganche,"Abril, 24",
Espera comprar en futuro,"Abril, 24",
Otros,"Abril, 24",
Compra en otro lado,"Mayo, 24",
Falta importe para enganche,"Mayo, 24",
Espera comprar en futuro,"Mayo, 24",
Otros,"Mayo, 24",
Compra en otro lado,"Junio, 24",
Falta importe para enganche,"Junio, 24",
Espera comprar en futuro,"Junio, 24",
Otros,"Junio, 24",
Compra en otro lado,"Julio, 24",
Falta importe para enganche,"Julio, 24",
Espera comprar en futuro,"Julio, 24",
Otros,"Julio, 24",
Compra en otro lado,"Agosto, 24",
Falta importe para enganche,"Agosto, 24",
Espera comprar en futuro,"Agosto, 24",
Otros,"Agosto, 24",
Compra en otro lado,"Septiembre, 24",
Falta importe para enganche,"Septiembre, 24",
Espera comprar en futuro,"Septiembre, 24",
Otros,"Septiembre, 24",
Compra en otro lado,"Octubre, 24",
Falta importe para enganche,"Octubre, 24",
Espera comprar en futuro,"Octubre, 24",
Otros,"Octubre, 24",
Compra en otro lado,"Noviembre, 24",
Falta importe para enganche,"Noviembre, 24",
Espera comprar en futuro,"Noviembre, 24",
Otros,"Noviembre, 24",
Compra en otro lado,"Diciembre, 24",
Falta importe para enganche,"Diciembre, 24",
Espera comprar en futuro,"Diciembre, 24",
Otros,"Diciembre, 24",
Compra en otro lado,"Enero, 25",
Falta importe para enganche,"Enero, 25",
Espera comprar en futuro,"Enero, 25",
Otros,"Enero, 25",
Compra en otro lado,"Febrero, 25",
Falta importe para enganche,"Febrero, 25",
Espera comprar en futuro,"Febrero, 25",
Otros,"Febrero, 25",
Compra en otro lado,"Marzo, 25",
Falta importe para enganche,"Marzo, 25",
Espera comprar en futuro,"Marzo, 25",
Otros,"Marzo, 25",
Compra en otro lado,"Abril, 25",
Falta importe para enganche,"Abril, 25",
Espera comprar en futuro,"Abril, 25",
Otros,"Abril, 25",
Compra en otro lado,"Mayo, 25",4
Falta importe para enganche,"Mayo, 25",
Espera comprar en futuro,"Mayo, 25",4
Otros,"Mayo, 25",3
Compra en otro lado,"Junio, 25",5
Falta importe para enganche,"Junio, 25",
Espera comprar en futuro,"Junio, 25",1
Otros,"Junio, 25",4
Compra en otro lado,"Julio, 25",3
Falta importe para enganche,"Julio, 25",
Espera comprar en futuro,"Julio, 25",1
Otros,"Julio, 25",6
Compra en otro lado,"Agosto, 25",5
Falta importe para enganche,"Agosto, 25",
Espera comprar en futuro,"Agosto, 25",
Otros,"Agosto, 25",
Compra en otro lado,"Septiembre, 25",5
Falta importe para enganche,"Septiembre, 25",1
Espera comprar en futuro,"Septiembre, 25",1
Otros,"Septiembre, 25",4
Compra en otro lado,"Octubre, 25",10
Falta importe para enganche,"Octubre, 25",2
Espera comprar en futuro,"Octubre, 25",8
Otros,"Octubre, 25",5
Compra en otro lado,"Noviembre, 25",6
Falta importe para enganche,"Noviembre, 25",2
Espera comprar en futuro,"Noviembre, 25",4
Otros,"Noviembre, 25",0
Compra en otro lado,"Diciembre, 25",0
Falta importe para enganche,"Diciembre, 25",1
Espera comprar en futuro,"Diciembre, 25",3
Otros,"Diciembre, 25",3
Compra en otro lado,"Enero, 26",4
Falta importe para enganche,"Enero, 26",0
Espera comprar en futuro,"Enero, 26",9
Otros,"Enero, 26",0
Compra en otro lado,"Febrero, 26",1
Falta importe para enganche,"Febrero, 26",0
Espera comprar en futuro,"Febrero, 26",6
Otros,"Febrero, 26",5
Compra en otro lado,"Marzo, 26",1
Falta importe para enganche,"Marzo, 26",0
Espera comprar en futuro,"Marzo, 26",4
Otros,"Marzo, 26",11
Compra en otro lado,"Abril, 26",2
Falta importe para enganche,"Abril, 26",3
Espera comprar en futuro,"Abril, 26",10
Otros,"Abril, 26",3
Compra en otro lado,"Mayo, 26",2
Falta importe para enganche,"Mayo, 26",1
Espera comprar en futuro,"Mayo, 26",1
Otros,"Mayo, 26",9
Compra en otro lado,"Junio, 26",2
Falta importe para enganche,"Junio, 26",2
Espera comprar en futuro,"Junio, 26",7
Otros,"Junio, 26",5
Compra en otro lado,"Julio, 26",
Falta importe para enganche,"Julio, 26",
Espera comprar en futuro,"Julio, 26",
Otros,"Julio, 26",
