Motivo,Mes,Valor
Mal Buro,"Enero, 24",
Score bajo,"Enero, 24",
Capacidad de pago ,"Enero, 24",
Otros,"Enero, 24",
Mal Buro,"Febrero, 24",
Score bajo,"Febrero, 24",
Capacidad de pago ,"Febrero, 24",
Otros,"Febrero, 24",
Mal Buro,"Marzo, 24",
Score bajo,"Marzo, 24",
Capacidad de pago ,"Marzo, 24",
Otros,"Marzo, 24",
Mal Buro,"Abril, 24",
Score bajo,"Abril, 24",
Capacidad de pago ,"Abril, 24",
Otros,"Abril, 24",
Mal Buro,"Mayo, 24",
Score bajo,"Mayo, 24",
Capacidad de pago ,"Mayo, 24",
Otros,"Mayo, 24",
Mal Buro,"Junio, 24",
Score bajo,"Junio, 24",
Capacidad de pago ,"Junio, 24",
Otros,"Junio, 24",
Mal Buro,"Julio, 24",
Score bajo,"Julio, 24",
Capacidad de pago ,"Julio, 24",
Otros,"Julio, 24",
Mal Buro,"Agosto, 24",
Score bajo,"Agosto, 24",
Capacidad de pago ,"Agosto, 24",
Otros,"Agosto, 24",
Mal Buro,"Septiembre, 24",
Score bajo,"Septiembre, 24",
Capacidad de pago ,"Septiembre, 24",
Otros,"Septiembre, 24",
Mal Buro,"Octubre, 24",
Score bajo,"Octubre, 24",
Capacidad de pago ,"Octubre, 24",
Otros,"Octubre, 24",
Mal Buro,"Noviembre, 24",
Score bajo,"Noviembre, 24",
Capacidad de pago ,"Noviembre, 24",
Otros,"Noviembre, 24",
Mal Buro,"Diciembre, 24",
Score bajo,"Diciembre, 24",
Capacidad de pago ,"Diciembre, 24",
Otros,"Diciembre, 24",
Mal Buro,"Enero, 25",
Score bajo,"Enero, 25",
Capacidad de pago ,"Enero, 25",
Otros,"Enero, 25",
Mal Buro,"Febrero, 25",
Score bajo,"Febrero, 25",
Capacidad de pago ,"Febrero, 25",
Otros,"Febrero, 25",
Mal Buro,"Marzo, 25",
Score bajo,"Marzo, 25",
Capacidad de pago ,"Marzo, 25",
Otros,"Marzo, 25",
Mal Buro,"Abril, 25",
Score bajo,"Abril, 25",
Capacidad de pago ,"Abril, 25",
Otros,"Abril, 25",
Mal Buro,"Mayo, 25",22
Score bajo,"Mayo, 25",3
Capacidad de pago ,"Mayo, 25",
Otros,"Mayo, 25",
Mal Buro,"Junio, 25",17
Score bajo,"Junio, 25",3
Capacidad de pago ,"Junio, 25",2
Otros,"Junio, 25",1
Mal Buro,"Julio, 25",27
Score bajo,"Julio, 25",5
Capacidad de pago ,"Julio, 25",
Otros,"Julio, 25",1
Mal Buro,"Agosto, 25",31
Score bajo,"Agosto, 25",12
Capacidad de pago ,"Agosto, 25",
Otros,"Agosto, 25",
Mal Buro,"Septiembre, 25",40
Score bajo,"Septiembre, 25",8
Capacidad de pago ,"Septiembre, 25",1
Otros,"Septiembre, 25",
Mal Buro,"Octubre, 25",54
Score bajo,"Octubre, 25",6
Capacidad de pago ,"Octubre, 25",5
Otros,"Octubre, 25",
Mal Buro,"Noviembre, 25",26
Score bajo,"Noviembre, 25",4
Capacidad de pago ,"Noviembre, 25",4
Otros,"Noviembre, 25",2
Mal Buro,"Diciembre, 25",27
Score bajo,"Diciembre, 25",7
Capacidad de pago ,"Diciembre, 25",
Otros,"Diciembre, 25",
Mal Buro,"Enero, 26",33
Score bajo,"Enero, 26",5
Capacidad de pago ,"Enero, 26",0
Otros,"Enero, 26",0
Mal Buro,"Febrero, 26",19
Score bajo,"Febrero, 26",3
Capacidad de pago ,"Febrero, 26",2
Otros,"Febrero, 26",1
Mal Buro,"Marzo, 26",15
Score bajo,"Marzo, 26",10
Capacidad de pago ,"Marzo, 26",3
Otros,"Marzo, 26",2
Mal Buro,"Abril, 26",12
Score bajo,"Abril, 26",4
Capacidad de pago ,"Abril, 26",
Otros,"Abril, 26",
Mal Buro,"Mayo, 26",12
Score bajo,"Mayo, 26",10
Capacidad de pago ,"Mayo, 26",6
Otros,"Mayo, 26",1
Mal Buro,"Junio, 26",22
Score bajo,"Junio, 26",4
Capacidad de pago ,"Junio, 26",6
Otros,"Junio, 26",1
Mal Buro,"Julio, 26",
Score bajo,"Julio, 26",
Capacidad de pago ,"Julio, 26",
Otros,"Julio, 26",
